"anem_table_id","Spp","Size","ID","Col","Recap","TagID","Notes","Collector"
1221,"APCL","8.7","773","O","N","986112100N","773 WAS PREVIOUSLY CLIPPED","MRS"
1222,"APCL","5.4","774","YR","N","986112100N","Brilliant green anemone, quite beautiful","MRS"
1224,"APCL","6.8","775","Y","N","986112100N",NA,"MRS"
1233,"APCL","9.7","778","O","N","986112100N",NA,"MRS"
1235,"APCL","7.7","779","YP","N","986112100N","779 looks previously clipped","MRS"
1237,"APCL","8.2","780","O","N","986112100N",NA,"MRS"
1238,"APCL","9.4","781","O","N","986112100N",NA,"MRS"
1239,"APCL","10.5","782","YP","N","986112100N",NA,"MRS"
1240,"APCL","6.6","783","YP","N","986112100N",NA,"MRS"
1245,"APCL","8.2","785","YP","N","986112100N",NA,"MRS"
1247,"APCL","7","786","YR","N","986112100N",NA,"MRS"
1249,"APCL","8.8","788","O","N","986112100N","788 ALREADY CUT","MRS"
1250,"APCL","10","790","YP","N","986112100N","790 ALREADY CUT","MRS"
1251,"APCL","10.7","791","YP","N","986112100N","791 & 792 ALREADY CUT","MRS"
1254,"APCL","9.6","793","O","N","986112100N","Uneven tail","MRS"
1255,"APCL","6.8","794","YP","N","986112100N","Uneven tail","MRS"
1256,"APCL","9.4","795","O","N","986112100N",NA,"MRS"
1257,"APCL","5.7","796","YR","N","986112100N","797 has an uneven tail","MRS"
1267,"APCL","8.4","799","O","N","986112100N",NA,"MRS"
1277,"APCL","9.3","802","O","N","986112100N","Cut","MRS"
1297,"APCL","7.5","805","YP","N","986112100N","All of these fish look like they were already cut","MRS"
1301,"APCL","7.8","809","O","N","986112100N",NA,"MRS"
1302,"APCL","7.3","810","YP","N","986112100N",NA,"MRS"
1304,"APCL","9.2","811","Y","N","986112100N","811 looks cut","MRS"
1308,"APCL","5.4","812","WR","N","986112100N",NA,"MRS"
361,"APCL","5.4","200","YR","N","403071",NA,"MLP"
482,"APCL","6","249","YR","N","403952","These fish are from the group of anemones visible at 10:45","MRS"
505,"APCL","6.9","260","O","N","350978",NA,"MRS"
536,"APCL","6.8","288","YP","N","403443","These fish swim back and forth between anem 2306 and 2307","MRS"
573,"APCL","7.2","320","O","N","406941",NA,"MRS"
574,"APCL","5.7","326","YP","N","402996",NA,"MRS"
617,"APCL","6.7","354","O","N","369788",NA,"MRS"
618,"APCL","5.3","360","YR","N","356802",NA,"MRS"
619,"APCL","8.5","366","O","N","371280",NA,"MRS"
654,"APCL","7.2","381","O","N","355216",NA,"MRS"
668,"APCL","6.4","391","O","N","355674",NA,"MRS"
688,"APCL","6.9","399","YR","N","363643",NA,"MRS"
708,"APCL","8","403","O","N","369173",NA,"MRS"
792,"APCL","5.8","423","YR","N","400217",NA,"MRS"
793,"APCL","5.7","427","YR","N","369352",NA,"MRS"
820,"APCL","5.8","434","YP","N","354687","Fish 433 had very long pectorial fins","MRS"
862,"APCL","9.2","441","O","N","372151",NA,"MRS"
903,"APCL","8","476","O","N","354556","8.3cm fish escaped ","MRS"
904,"APCL","7.9","483","O","N","370608","4cm fish escaped","MRS"
905,"APCL","7.4","488","O","N","355147",NA,"MRS"
913,"APCL","8.5","506","O","N","368085",NA,"MRS"
963,"APCL","8.8","554","O","N","403220",NA,"MRS"
964,"APCL","8.7","540","O","N","355933",NA,"MRS"
980,"APCL","6","554","O","N","403220",NA,"MRS"
1001,"APCL","8.9","569","O","N","403084",NA,"MRS"
1005,"APCL","10.5","574","O","Y","402189",NA,"MRS"
1021,"APCL","6.1","595","YP","N","406780",NA,"MRS"
1027,"APCL","7.6","603","O","N","367965",NA,"MRS"
1147,"APCL","8.2","692","O","N","353940",NA,"MRS"
1159,"APCL","8.2","706","O","N","353931",NA,"MRS"
1194,"APCL","5.2","738","YR","N","368587",NA,"MRS"
