"site_mismatch.First.sample_id","site_mismatch.First.lat","site_mismatch.First.lon"
"APCL13_377",10.85627556,124.72579193
"APCL13_375",10.85627556,124.72579193
"APCL13_365",10.85624027,124.72588348
"APCL14_204",10.85659122,124.72569275
"APCL13_379",10.85648632,124.7257309
"APCL13_384",10.85665703,124.72536469
"APCL14_437",10.87184334,124.71381378
"APCL12_132",10.85628796,124.7258606
"APCL12_133",10.85628796,124.7258606
"APCL12_134",10.85628796,124.7258606
"APCL12_139",10.85653782,124.72567749
"APCL12_141",10.85671711,124.72550201
"APCL12_142",10.85672665,124.72541809
"APCL15_399786",10.87326717,124.71217346
