"","Ligation_ID","Extraction_ID"
"17","L2431","E1877"
"21","L0425","E0215"
"22","L2292","E2262"
"23","L0288","E0378"
"28","L0908","E0921"
"29","L0912","E0933"
"30","L1276","E0962"
"31","L1292","E0928"
"32","L0781","E0924"
"33","L0909","E0923"
"34","L0715","E0922"
"35","L0910","E0925"
"48","L0370","E0474"
"49","L2529","E0727"
"50","L0909","E0923"
"51","L0715","E0922"
"52","L0908","E0921"
"56","L2444","E1068"
"58","L1667","E0492"
"61","L2292","E2262"
"63","L0715","E0922"
"64","L0908","E0921"
"65","L0715","E0922"
"66","L0908","E0921"
"67","L0909","E0923"
"68","L0781","E0924"
"69","L0910","E0925"
"70","L0909","E0923"
"71","L0715","E0922"
"72","L0908","E0921"
"73","L0911","E0926"
"74","L0715","E0922"
"75","L0910","E0925"
"76","L0781","E0924"
"77","L1292","E0928"
"78","L0909","E0923"
"79","L0910","E0925"
"80","L0715","E0922"
"81","L0912","E0933"
"82","L0781","E0924"
"83","L0909","E0923"
"84","L0715","E0922"
"85","L0909","E0923"
"86","L0910","E0925"
"88","L0697","E0772"
"92","L2490","E0576"
"93","L0443","E0328"
"96","L0377","E0485"
"98","L0715","E0922"
"99","L1292","E0928"
"100","L0912","E0933"
"101","L0781","E0924"
"102","L0909","E0923"
"103","L0910","E0925"
"106","L1084","E0245"
"109","L0846","E0570"
"110","L0715","E0922"
"111","L0909","E0923"
"114","L0912","E0933"
"115","L0909","E0923"
"116","L0715","E0922"
"117","L1292","E0928"
"118","L0781","E0924"
"119","L0910","E0925"
"123","L0911","E0926"
"124","L0781","E0924"
"125","L0908","E0921"
"126","L0909","E0923"
"127","L0715","E0922"
"128","L0910","E0925"
"136","L1101","E0275"
"137","L1737","E0705"
"138","L1742","E1019"
"139","L0737","E1019"
"140","L0678","E0705"
"173","L1102","E0277"
"175","L2283","E1866"
"179","L1667","E0492"
"207","L0413","E0165"
"208","L0424","E0214"
"209","L0722","E0791"
"210","L1738","E0791"
"211","L1072","E0228"
"217","L0973","E1382"
"221","L1288","E1397"
"222","L1241","E1388"
"223","L2392","E1388"
"242","L0443","E0328"
"243","L1345","E1297"
"250","L0764","E1488"
"258","L1088","E0250"
"260","L0610","E1108"
"261","L0738","E1245"
"262","L2250","E1245"
"267","L0936","E1483"
"273","L0415","E0167"
"171","L0410","E0156"
"212","L0427","E0226"
"224","L0485","E0152"
"231","L0606","E1095"
"281","L0715","E0922"
"291","L0718","E0963"
"301","L0718","E0963"
"311","L0718","E0963"
"321","L0718","E0963"
"331","L0718","E0963"
"341","L0718","E0963"
"351","L0718","E0963"
"481","L0742","E1478"
"491","L0747","E1385"
"501","L0781","E0924"
"511","L0781","E0924"
"521","L0781","E0924"
"561","L0808","E1070"
"581","L0822","E1218"
"611","L0893","E0802"
"631","L0909","E0923"
"641","L0909","E0923"
"651","L0910","E0925"
"661","L0910","E0925"
"671","L0910","E0925"
"681","L0910","E0925"
"691","L0911","E0926"
"701","L0911","E0926"
"711","L0911","E0926"
"721","L0912","E0933"
"731","L0912","E0933"
"741","L0912","E0933"
"751","L0912","E0933"
"761","L0912","E0933"
"771","L0912","E0933"
"781","L0912","E0933"
"791","L0914","E0950"
"801","L0914","E0950"
"811","L0914","E0950"
"821","L0914","E0950"
"831","L0914","E0950"
"841","L0916","E0974"
"851","L0916","E0974"
"861","L0916","E0974"
"881","L0922","E0867"
"921","L0936","E1483"
"931","L0945","E0792"
"961","L0974","E1394"
"981","L0994","E0968"
"991","L0994","E0968"
"1001","L0994","E0968"
"1011","L0994","E0968"
"1021","L0994","E0968"
"1031","L0994","E0968"
"1061","L1092","E0256"
"1091","L1238","E1480"
"1101","L1251","E0931"
"1111","L1251","E0931"
"1141","L1276","E0962"
"1151","L1276","E0962"
"1161","L1276","E0962"
"1171","L1276","E0962"
"1181","L1276","E0962"
"1191","L1276","E0962"
"1231","L1292","E0928"
"1241","L1292","E0928"
"1251","L1292","E0928"
"1261","L1292","E0928"
"1271","L1292","E0928"
"1281","L1292","E0928"
"1361","L1701","E0895"
"1371","L1705","E1350"
"1381","L1705","E1350"
"1391","L1705","E1350"
"1401","L1705","E1350"
"1731","L2348","E0894"
"1751","L2385","E1867"
"1791","L2448","E1218"
"2071","L2695","E2499"
"2081","L2716","E2521"
"2091","L2716","E2521"
"2101","L2716","E2521"
"2111","L2731","E2538"
"2171","L2754","E2588"
"2211","L2764","E2617"
"2221","L2772","E2632"
"2231","L2772","E2632"
"2421","L2815","E2836"
"2431","L2818","E2851"
"2501","L2850","E2931"
"2581","L2882","E2448"
"2601","L2900","E2744"
"2611","L2904","E2757"
"2621","L2904","E2757"
"2671","L2909","E2785"
"2731","L2935","E2852"
